"sample_id","condition","fssi_frozen_weighted","fssi_frozen_equal_weight","pathological_component","repair_component_reversed","Fib5_three_marker_baseline","collagen_ECM_raw","threshold","annotation_sensitivity","fibroblast_cell_n","dataset_id"
"HK-NS3","perilesional_skin",-1.74893003802407,-1.90426574216343,-0.808701460949566,-3.27372109368076,-1.19339762600787,2.61544670233248,0.4,"reference_transfer",1100,"GSE191067"
"HK1","keloid",0.507638469323617,0.539266363606649,1.10657110118028,-0.16986455836039,0.534874641610592,3.71847179183065,0.4,"marker_purity_subset",1904,"GSE191067"
"HK2","keloid",0.268800008752902,0.171866150498722,1.01440304832269,-0.881304971781237,0.694700894456529,4.14432255502087,0.4,"marker_purity_subset",527,"GSE191067"
"HK3","keloid",-0.0169740649082556,-0.0522045983316728,0.0525351959265299,-0.183129341154426,-0.404001632822206,3.34120946390648,0.4,"marker_purity_subset",180,"GSE191067"
"HNSR1","normal_scar",0.476970758967637,0.489464653247003,1.04920152644715,-0.210206438253185,0.794231645063392,4.0429443502258,0.4,"marker_purity_subset",1414,"GSE191067"
"HNSR2","normal_scar",0.451935133292359,0.50599659653151,1.26616085232079,-0.444208723205089,0.539127713400844,4.15816732470008,0.4,"marker_purity_subset",1881,"GSE191067"
"HNSR3","normal_scar",-0.601426440141245,-0.541893456690546,0.402800068531915,-1.72276036321862,-0.420071693573832,3.43063699393363,0.4,"marker_purity_subset",1157,"GSE191067"
"HNS1","normal_skin",-1.33289303631662,-1.42015816656085,-0.120624117612756,-3.04457572774597,-0.987686606697137,3.12303219175818,0.4,"marker_purity_subset",1427,"GSE191067"
"HNS2","normal_skin",-1.2301299604042,-1.19546408499736,-0.929431825546912,-1.52800440931042,-0.428585305490049,1.75317720419964,0.4,"marker_purity_subset",1711,"GSE191067"
"HNS3","normal_skin",-1.55503573949244,-1.49917106289204,-0.752675379958627,-2.43229066655881,-1.20924146143457,2.09412311461858,0.4,"marker_purity_subset",179,"GSE191067"
"HK-NS1","perilesional_skin",-0.840324795850112,-0.851068769198437,0.178663909333064,-2.13823461736281,-0.422147742538194,3.5249038176611,0.4,"marker_purity_subset",3005,"GSE191067"
"HK-NS2","perilesional_skin",-1.30878372005027,-1.4770425954913,-0.255959865566262,-3.00339600789761,-1.02817238110366,2.91709330649067,0.4,"marker_purity_subset",458,"GSE191067"
