scenario,axis_id,ligand,receptor,expected_delta,dataset_id,donor_id,oriented_delta
collapse_NF1_NF3,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:NF2_matrix,0.0057258286624962
collapse_NF1_NF3,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:collapse_NF1_NF3,-0.0006640321342844999
collapse_NF1_NF3,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE181297,GSE181297:GSM5494438_Ke01,0.0780972116725169
collapse_NF1_NF3,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE181297,GSE181297:GSM5494439_Ke02,0.0559838800160266
collapse_NF1_NF3,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE181297,GSE181297:GSM5610149_NS02,0.0219275344083786
collapse_NF1_NF3,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE243716,GSE243716:P1,0.0289263058878223
collapse_NF2_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:KF1_matrix,0.154849645649061
collapse_NF2_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:KF2_matrix,0.0524803120275105
collapse_NF2_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:KF3_matrix,0.0713191904474957
collapse_NF2_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:NF1_matrix,0.0595929180788324
collapse_NF2_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:collapse_NF2_NF3,0.035716928818970095
collapse_NF2_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE181297,GSE181297:GSM5494438_Ke01,0.0585968990137355
collapse_NF2_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE181297,GSE181297:GSM5494439_Ke02,0.0471601880207317
collapse_NF2_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE181297,GSE181297:GSM5610149_NS02,0.0942442518479341
collapse_NF2_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE243716,GSE243716:P1,0.0470625975624232
collapse_NF2_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:KF1_matrix,2.2993692528051
collapse_NF2_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:KF2_matrix,1.99875522879537
collapse_NF2_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:KF3_matrix,2.67483235862722
collapse_NF2_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:NF1_matrix,0.349624523976756
collapse_NF2_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:collapse_NF2_NF3,0.9139533360340925
collapse_NF2_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE181297,GSE181297:GSM5494438_Ke01,0.92043186095089
collapse_NF2_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE181297,GSE181297:GSM5494439_Ke02,0.295512066154411
collapse_NF2_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE181297,GSE181297:GSM5610149_NS02,0.793889108038143
collapse_NF2_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE243716,GSE243716:P1,0.539041514123894
collapse_NF2_NF3,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:KF1_matrix,0.690156646702062
collapse_NF2_NF3,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:KF2_matrix,1.38729200961263
collapse_NF2_NF3,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:KF3_matrix,1.22301849648782
collapse_NF2_NF3,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:NF1_matrix,-0.052607361833052
collapse_NF2_NF3,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:collapse_NF2_NF3,0.21820093833738716
collapse_NF2_NF3,MIF_CD74,MIF,CD74,positive,GSE181297,GSE181297:GSM5494438_Ke01,0.157803496670965
collapse_NF2_NF3,MIF_CD74,MIF,CD74,positive,GSE181297,GSE181297:GSM5494439_Ke02,1.81039322081656
collapse_NF2_NF3,MIF_CD74,MIF,CD74,positive,GSE181297,GSE181297:GSM5610149_NS02,0.595261061265179
collapse_NF2_NF3,MIF_CD74,MIF,CD74,positive,GSE243716,GSE243716:P1,-0.1474749168554034
collapse_NF2_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:KF1_matrix,0.0998398560765725
collapse_NF2_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:KF2_matrix,0.0299840630536238
collapse_NF2_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:KF3_matrix,0.051312376954446
collapse_NF2_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:NF1_matrix,0.0316318036027826
collapse_NF2_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:collapse_NF2_NF3,0.01653172992424995
collapse_NF2_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE181297,GSE181297:GSM5494438_Ke01,0.0914167617300259
