accession,celltype,scarvcell_overlap,accession_auditable,n_contexts,n_cells,FSSI,equal_weight_FSSI,pathological_component,repair_component
GSE163028,F5: NGFR+,False,True,1.0,3378.0,-1.411031427085683,-1.5358062121958038,-1.4163637465119163,1.403512628509561
GSE163028,F5: RAMP1+,False,True,1.0,1557.0,-1.405268788050632,-1.591640635103334,-1.4842818471385775,1.293856993542787
GSE163028,F7: Fascia-like myofibroblast,False,True,1.0,1.0,-0.0514255307113646,-0.08449361139509992,-1.8592811732986292,-2.497728288628774
GSE163973,F1: Superficial,True,True,2.0,208.0,-0.46601188943238603,-0.7705241907785646,-0.832980758273928,-0.05142991927728902
GSE163973,F2/3: Stroma_PPARG+,True,True,2.0,806.0,-1.477582735778327,-1.7572032708707368,-1.1110945128644385,1.994346813161805
GSE163973,F2: Universal,True,True,2.0,355.0,-0.927342163370181,-0.9386042113143619,-0.5008996149699116,1.5286444053058057
GSE163973,F3: FRC-like,True,True,2.0,535.0,-1.22484049040871,-1.560604704958824,-1.1914298752491115,1.2719508875191285
GSE163973,F4: DP_HHIP+,True,True,2.0,10.0,0.06167147505161744,-0.12283432864029606,-1.0919496813866676,-1.6883266723646364
GSE163973,F4: DS_DPEP1+,True,True,2.0,277.0,-0.44281046526944506,-0.7259812501390285,-0.5199782728541227,0.3340005543447739
GSE163973,F4: TNN+COCH+,True,True,2.0,38.0,-0.10419966020176154,-0.2882445207555228,-0.07992820217179149,0.1384234546688387
GSE163973,F5: NGFR+,True,True,2.0,77.0,-1.2509207152220707,-1.2920670931160254,-1.2503677725425861,1.2517003880621382
GSE163973,F5: RAMP1+,True,True,2.0,156.0,-1.2473841394795113,-1.5301348800273924,-1.26091911721703,1.2282992416693639
GSE163973,F6: Inflammatory myofibroblast,True,True,2.0,123.0,0.45439411735216567,0.2827549743657529,0.3064713454467845,-0.6629715557754787
GSE163973,F6: Myofibroblast,True,True,2.0,1614.0,1.2553538645126796,1.2459024557781155,1.6377890090826006,-0.7161039451800015
GSE163973,F7: Fascia-like myofibroblast,True,True,2.0,596.0,1.574379697316214,1.5611329036633765,1.8400106871234223,-1.199828634581427
GSE163973,F_Fascia,True,True,2.0,7.0,0.7814825250902914,0.8158317082888125,0.9106342760333046,-0.5993730294893702
GSE166796,F1: Superficial,False,True,2.0,6029.0,-0.7212401630056928,-0.7364561842938236,-1.2767314110156078,-0.06202626774094347
GSE166796,F2/3: Stroma_PPARG+,False,True,2.0,142.0,-1.4424055583991382,-1.4905336234113415,-1.5494231366666622,1.2915061934549494
GSE166796,F2: Universal,False,True,2.0,874.0,-1.2729297489609022,-1.1730710877950479,-1.2040970347318691,1.3699868215717323
GSE166796,F3: FRC-like,False,True,2.0,2918.0,-1.0803618946222289,-1.1563861162871072,-1.6408659272848956,0.2900272230038806
GSE166796,F4: DP_HHIP+,False,True,1.0,2.0,0.4198846189024522,0.4461241069338601,-0.412736109521585,-1.5939154761927923
GSE166796,F4: DS_DPEP1+,False,True,2.0,978.0,-0.7140345435434478,-0.7880350886545234,-1.1666959257179226,0.07576262400762232
GSE166796,F4: TNN+COCH+,False,True,2.0,474.0,-0.6374034215405543,-0.5889653619217136,-1.0316184694978503,0.08154333433605936
GSE166796,F5: NGFR+,False,True,2.0,78.0,-1.1923339991547255,-1.1735001384616468,-1.6976426308612396,0.479827204852967
GSE166796,F5: RAMP1+,False,True,2.0,4.0,-0.9899108193103168,-0.8500101021541298,-1.5649003398753902,0.17915098987429012
GSE166796,F6: Inflammatory myofibroblast,False,True,2.0,19.0,-0.6044206365795668,-0.7042892193620214,-1.378181960530504,-0.4866159416421385
GSE166796,F6: Myofibroblast,False,True,2.0,79.0,-0.3772784418180733,-0.3920710188643781,-0.7051300166076647,-0.08500630833792502
GSE166796,F7: Fascia-like myofibroblast,False,True,2.0,16.0,-0.18547683130805714,-0.3265552496576105,-0.8667421517479087,-0.7751364237955805
GSE169147,F1: Superficial,False,True,1.0,174.0,-0.33008933525476364,-0.5797559803207208,-0.7050519442312239,-0.19862398912005433
GSE169147,F2/3: Stroma_PPARG+,False,True,1.0,478.0,-1.5176428728252973,-1.9939219696146067,-1.0926582370368974,2.1168893955899537
GSE169147,F2: Universal,False,True,1.0,424.0,-0.8653109542549275,-0.9811110909494465,-0.5131183569236116,1.3619175878164422
GSE169147,F3: FRC-like,False,True,1.0,458.0,-0.8872632761796524,-1.2227247128169336,-1.082823250534013,0.6115153437717074
GSE169147,F4: DP_HHIP+,False,True,1.0,12.0,-0.1860808149282562,-0.46862781882878374,-1.2206191663978905,-1.2726625314865683
GSE169147,F4: DS_DPEP1+,False,True,1.0,32.0,-0.4772865927331408,-0.9132798689927358,-0.593799525207728,0.31299837202373976
GSE169147,F4: TNN+COCH+,False,True,1.0,31.0,-0.48802368783812694,-0.685828055609107,-0.8038661566798673,0.04267229097244711
GSE169147,F5: NGFR+,False,True,1.0,12.0,-1.399302041483475,-1.7803510990679952,-1.2234899794402085,1.647204572463367
GSE169147,F5: RAMP1+,False,True,1.0,37.0,-1.1493317768989062,-1.6390575501321407,-1.2265559747192158,1.0404423533288958
GSE169147,F6: Inflammatory myofibroblast,False,True,1.0,256.0,-0.1768468523640644,-0.35389765714587335,-0.5548792957830335,-0.3561950699416509
GSE169147,F6: Myofibroblast,False,True,1.0,276.0,-0.25043546880138373,-0.44696242545088394,-0.12623841793661222,0.4255586252662575
GSE169147,F7: Fascia-like myofibroblast,False,True,1.0,6.0,0.3871682424577851,0.04501084107312969,0.7162553506118289,0.07685866261408285
GSE173252,F1: Superficial,False,True,2.0,26.0,-0.4336400460921027,-0.5804889620464339,-0.9850042913329543,-0.34380713414395153
GSE173252,F2/3: Stroma_PPARG+,False,True,2.0,3225.0,-1.423921716152794,-1.7372210812899027,-1.3381020361452975,1.5449311374319057
GSE173252,F2: Universal,False,True,2.0,1320.0,-0.7622349488652166,-0.917431741197692,-0.6970610586824756,0.8541329229992722
